UF_LPI,ANO_IS,ID,obito,vivo,ignorado
AC,2000,0,0,0,0
AC,2020,1,1,0,0
AM,1996,12,12,0,0
AM,1998,1,1,0,0
AM,1999,4,4,0,0
AM,2000,0,0,0,0
AM,2001,2,2,0,0
AM,2002,2,2,0,0
AM,2003,0,0,0,0
AM,2004,2,2,0,0
AM,2005,2,2,0,0
AM,2006,1,1,0,0
AM,2007,3,3,0,0
AM,2013,0,0,0,0
AM,2016,1,1,0,0
AM,2017,1,0,0,1
AM,2018,0,0,0,0
AM,2019,0,0,0,0
AM,2023,1,1,0,0
AM,2024,2,2,0,0
BA,2000,3,3,0,0
DF,2000,2,2,0,0
DF,2007,0,0,0,0
DF,2008,4,4,0,0
DF,2017,2,2,0,0
ES,2017,116,84,0,32
ES,2018,0,0,0,0
GO,1999,5,5,0,0
GO,2000,23,23,0,0
GO,2007,6,6,0,0
GO,2008,10,10,0,0
GO,2015,4,4,0,0
GO,2016,3,3,0,0
GO,2017,1,1,0,0
MA,1995,2,1,0,1
MG,2000,2,2,0,0
MG,2001,16,16,0,0
MG,2002,2,2,0,0
MG,2003,22,22,0,0
MG,2008,0,0,0,0
MG,2009,0,0,0,0
MG,2016,30,30,0,0
MG,2017,149,132,0,17
MG,2018,173,171,0,2
MG,2024,1,1,0,0
MS,1996,1,1,0,0
MS,2008,2,2,0,0
MS,2010,1,1,0,0
MS,2015,1,1,0,0
MT,1998,1,1,0,0
MT,1999,4,4,0,0
MT,2000,3,3,0,0
MT,2001,1,1,0,0
MT,2003,2,2,0,0
MT,2006,1,1,0,0
MT,2007,1,1,0,0
MT,2008,2,2,0,0
MT,2009,1,1,0,0
MT,2017,1,1,0,0
PA,1995,1,1,0,0
PA,1997,2,2,0,0
PA,1998,8,8,0,0
PA,1999,13,9,0,4
PA,2000,1,1,0,0
PA,2001,1,1,0,0
PA,2002,1,1,0,0
PA,2003,0,0,0,0
PA,2004,1,1,0,0
PA,2007,0,0,0,0
PA,2008,2,2,0,0
PA,2010,1,1,0,0
PA,2011,1,1,0,0
PA,2013,0,0,0,0
PA,2014,0,0,0,0
PA,2015,0,0,0,0
PA,2017,7,4,0,3
PA,2019,4,3,0,1
PA,2021,3,2,0,1
PA,2022,1,1,0,0
PA,2024,0,0,0,0
PR,2008,1,1,0,0
PR,2019,1,1,0,0
RJ,2017,16,9,0,7
RJ,2018,100,96,0,4
RO,1997,1,1,0,0
RO,2001,1,1,0,0
RR,1994,1,1,0,0
RR,1995,0,0,0,0
RR,1998,4,4,0,0
RR,1999,2,2,0,0
RR,2001,1,1,0,0
RR,2002,1,1,0,0
RR,2005,1,1,0,0
RR,2007,1,1,0,0
RR,2023,1,1,0,0
RS,2008,4,4,0,0
RS,2009,5,5,0,0
SC,2019,2,2,0,0
SC,2020,3,2,0,1
SC,2021,4,3,0,1
SP,2000,2,2,0,0
SP,2008,2,2,0,0
SP,2009,11,11,0,0
SP,2016,3,3,0,0
SP,2017,36,36,0,0
SP,2018,188,179,0,9
SP,2019,16,12,0,4
SP,2022,0,0,0,0
SP,2023,2,2,0,0
SP,2024,1,1,0,0
TO,1999,5,5,0,0
TO,2000,4,4,0,0
TO,2017,1,1,0,0
TO,2022,1,1,0,0
